pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
13554384,2017-12-31 01:54:30,FLEX-A,1600,AORG,P 2 Buitenbrand container (VK: 2) (ondergronds) Mariottestraat 10-18 SGRAVH 157830,P 2,2,B,Buitenbrand container (VK: 2) (ondergronds) 157830,Mariottestraat,10,\N,\N,\N,2561SK,Den Haag,52.0704864,4.277728099999999,U6HWC6OSHNlRfp6GhzkezZzGDMk=,H,200659,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.277728099999999 52.0704864)
13554447,2017-12-31 02:39:26,FLEX-A,1600,AORG,P 1 Brandmelding OMS (VK: 1) Pier Scheveningen Strandweg SGRAVH 157130,P 1,1,B,Brandmelding Melding Via Openbaar Meldsysteem (VK: 1) Pier 157130,Strandweg,\N,\N,\N,\N,2586JK,Den Haag,52.1093028,4.2751468,wj8emoRANvFjii71DrUzXlBByWQ=,S,201427,4896,391,12,5170,"1500158,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2751468 52.1093028)
13554639,2017-12-31 05:06:21,FLEX-A,1600,AORG,P 1 Voertuigbrand (VK: 2) Cremerweg/Wagenaarweg SGRAVH 157130,P 1,1,B,Voertuigbrand (VK: 2) / 157130,Wagenaarweg,\N,\N,\N,\N,2597LL,Den Haag,52.1019484,4.299727099999999,0Galdbk8iSiS+FvaRTXaPqcSPsI=,S,201817,4896,391,12,5170,"1500158,1503902,2029570",\N,\N,Den Haag,Den Haag,POINT (4.299727099999999 52.1019484)
13554640,2017-12-31 05:06:48,FLEX-A,1600,AORG,P 1 Brandmelding OMS (VK: 3) Brinckhage Appartementen Loosduinse Uitleg 50-58 SGRAVH 157730,P 1,1,B,Brandmelding Melding Via Openbaar Meldsysteem (VK: 3) Brinckhage Appartementen 157730,Loosduinse Uitleg,52,\N,\N,\N,2553AV,Den Haag,52.0519827,4.2332654000000005,3yKHECtM6IdY7V3lp/gzwcmrLJw=,H,200588,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.233265400000001 52.0519827)
13554650,2017-12-31 05:17:52,FLEX-A,1600,AORG,P 1 Voertuigbrand (VK: 4) Doorniksestraat SGRAVH 157230,P 1,1,B,Voertuigbrand (VK: 4) 157230,Doorniksestraat,\N,\N,\N,\N,2587AZ,Den Haag,52.1073906,4.301324500000001,iXXlxffIcVAdYDviTgapmhun3fI=,S,199674,4896,391,12,5170,"1500140,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.301324500000001 52.1073906)
13554893,2017-12-31 08:28:24,FLEX-A,1600,AORG,P 1 Brandmelding OMS (VK: 1) Zomers Hof Beresteinlaan 631-639 SGRAVH 157730,P 1,1,B,Brandmelding Melding Via Openbaar Meldsysteem (VK: 1) Zomers 157730,Beresteinlaan,633,\N,\N,\N,2542JA,Den Haag,52.035858000000005,4.26285,3CflPvaoP3Aj2EsdgfeEJtrcf8U=,H,199329,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.26285 52.035858)
13555013,2017-12-31 09:12:40,FLEX-A,1600,AORG,P 2 Dienstverlening (VK: 5) Renswoudelaan SGRAVH 157730,P 2,2,B,Dienstverlening (VK: 5) 157730,Renswoudelaan,\N,\N,\N,\N,2546XE,Den Haag,52.0608474,4.2771931,zxa5qJVFWwBX+yE4dQSFCv+N1fc=,S,201120,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2771931 52.0608474)
13555027,2017-12-31 09:16:53,FLEX-A,1600,AORG,P 2 Dienstverlening (VK: 5) Renswoudelaan SGRAVH 157750,P 2,2,B,Dienstverlening (VK: 5) 157750,Renswoudelaan,\N,\N,\N,\N,2546XE,Den Haag,52.0608474,4.2771931,uCYEceYRfDlvFged5ynAAzGfE6g=,S,201120,4896,391,12,5170,"1500150,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.2771931 52.0608474)
13555098,2017-12-31 09:44:12,FLEX-A,1600,AORG,P 2 Buitenbrand (VK: 1) Brasserskade SGRAVH 155430,P 2,2,B,Buitenbrand (VK: 1) 155430,Brasserskade,\N,\N,\N,\N,2497NX,Den Haag,52.029824,4.3649972,5kDcROrgkBA2PeNDUQZdnjoRnck=,S,199437,4896,391,12,5170,"1500156,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3649972 52.029824)
13555517,2017-12-31 11:52:09,FLEX-A,1600,AORG,P 1 Gebouwbrand woning (VK: 4) Schrijnwerkersgaarde 30-38 SGRAVH 159591 157730 157750 159631,P 1,1,B,Gebouwbrand woning (VK: 4) 159591 157730 157750 159631,Schrijnwerkersgaarde,36,\N,\N,\N,2542TP,Den Haag,52.0386884,4.2743764,tEQj2GZwfoWVm9YxrxfL9NUnMGs=,H,201278,4896,391,12,5170,"1500050,1500148,1500150,1500208,1503902,2029569",\N,\N,Den Haag,Den Haag,POINT (4.2743764 52.0386884)
13555792,2017-12-31 13:05:14,FLEX-A,1600,AORG,P 1 Ass. ambu (VK: 1) (afhijsen patient) Herderslaan 71-79 SGRAVH 157830 157850,P 1,1,B,Assistentie ambu (VK: 1) (afhijsen patient) 157830 157850,Herderslaan,79,\N,\N,\N,2526KL,Den Haag,52.0693695,4.3032430999999995,YiFgkPAqRSc6p4IFqRURQmGn06E=,H,200074,4896,391,12,5170,"1500142,1503902,2029568",\N,\N,Den Haag,Den Haag,POINT (4.3032431 52.0693695)
