01-01-20,03:37:17,P 1,BDH-11,Voertuigbrand Hoogeveenlaan,SGRAVH,157730
01-01-20,03:36:39,P 1,BDH-18,Voertuigbrand Jan van Beersstraat,SGRAVH,157830
01-01-20,03:35:25,P 1,BDH-12,Voertuigbrand Duinweg,SGRAVH,157130
01-01-20,03:33:35,P 1,BDH-05,Alarm rookmelder Bijdorplaan,ZOETMR,162236
01-01-20,03:33:10,P 2,BDH-10,Buitenbrand Atlantastraat,SGRAVH,156830
01-01-20,03:31:23,P 2,BDH-05,Buitenbrand container (afvalcontainer) Verhagen Metmanstraat,RIJSZH,157630
01-01-20,03:31:11,P 1,BDH-08,Voertuigbrand Hoogeveenlaan,SGRAVH,156230
01-01-20,03:30:05,P 1,BDH-06,Voertuigbrand Prinses Marie Louiselaan,LEIDDM,155130
01-01-20,03:27:12,P 2,Brandweer Herbez./Kazern. Kazerne Leidschenveen Donau,SGRAVH,157750
01-01-20,03:26:48,P 1,BDH-14,Voertuigbrand De Werf,SGRAVH,159630
01-01-20,03:25:31,P 1,BDH-11,Voertuigbrand Valkenboskade,SGRAVH,159635
01-01-20,03:21:45,P 1,BDH-15,Gebouwbrand Anjerlaan NAALDW 156450 159691,156430,156730
01-01-20,03:20:31,P 1,BDH-08,Voertuigbrand Gaslaan,SGRAVH,157830
01-01-20,03:18:16,P 1,BDH-05,Buitenbrand van Vredenburchweg Jozef Israelslaan,RIJSZH,155630
01-01-20,03:17:13,P 2,BDH-16,Dienstverlening Industrieweg,ZOETMR,159593
01-01-20,03:16:52,P 2,BDH-16,Dienstverlening Industrieweg ZOETMR 156531 159632,159636,155040
01-01-20,03:14:18,P 2,BDH-08,Buitenbrand afval/rommel Wethouder Verheulplantsoen,SGRAVH,159632
01-01-20,03:14:07,P 1,BDH-17,Gebouwbrand kantoor (GRIP: 1) (zeer grote brand) Gebroeders Koot & Zn Industrieweg ZOETMR,156960,156980
01-01-20,03:13:10,P 2,BDH-10,Buitenbrand afval/rommel Vlierboomstraat,SGRAVH,159630
01-01-20,03:07:50,P 2,BDH-19,Buitenbrand container Wezelrade,SGRAVH,156630
01-01-20,03:06:40,P 1,BDH-14,Voertuigbrand Jan Romeinstraat,SGRAVH,157730
01-01-20,03:06:37,P 1,BDH-08,OMS Geverifieerd (brandmelding OMS) Frederik Kazerne Van Alkemadelaan,SGRAVH,159635
01-01-20,03:06:17,P 1,BDH-08,OMS Geverifieerd (brandmelding OMS) WKC Leyweg / Hemapool Leyweg,SGRAVH,159630
01-01-20,03:06:09,P 1,BDH-11,Voertuigbrand Boerhaavestraat,SGRAVH,157830
01-01-20,03:03:43,P 1,BDH-20,Gebouwbrand woning Regentesselaan SGRAVH 157150 159593,156531,157130
01-01-20,03:03:27,P 1,BDH-17,Gebouwbrand kantoor (GRIP: 1) (zeer grote brand) Gebroeders Koot & Zn,Industrieweg,ZOETMR
01-01-20,03:02:52,P 1,BDH-17,Gebouwbrand kantoor (zeer grote brand) Gebroeders Koot & Zn Industrieweg,ZOETMR,155481
01-01-20,03:02:45,P 2,BDH-12,Buitenbrand afval/rommel Van Vlotenstraat Rosseelsstraat,SGRAVH,157630
01-01-20,02:59:46,P 1,BDH-15,Voertuigbrand van Goghlaan,MONSTR,156730
01-01-20,02:59:08,P 1,Ongeval letsel Staverdenstraat,SGRAVH,157650
01-01-20,02:54:39,P 2,Brandweer Herbez./Kazern. (herbezetting) Kazerne Wassenaar Johan de,Wittstraat,WASSNR
01-01-20,02:54:27,P 1,BDH-18,Buitenbrand berm/ruigte Johan Huizingaplein,SGRAVH,156230
01-01-20,02:53:42,P 1,BDH-09,Voertuigbrand Trekvlietplein,SGRAVH,157630
01-01-20,02:51:58,P 2,BDH-08,Buitenbrand afval/rommel Sandersdijk,SGRAVH,159632
01-01-20,02:51:46,P 1,BDH-17,Gebouwbrand kantoor (zeer grote brand) Gebroeders Koot & Zn Industrieweg,ZOETMR,157850
