pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
16184876,2019-12-31 22:33:00,FLEX-A,1600,AORG,P 1 BDH-08 Voertuigbrand Bilthovenselaan Doldersestraat SGRAVH 157730,P 1,1,B,BDH-08 Voertuigbrand 157730,Bilthovenselaan,\N,\N,\N,\N,2574TE,Den Haag,52.0639531,4.2800033,mNpNRPI9sU+HYcuVTcDuoKUdmj8=,S,199360,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2800033 52.0639531)
16184940,2019-12-31 22:41:00,FLEX-A,1600,AORG,P 2 BDH-08 Liftopsluiting Isabellaland SGRAVH 155130,P 2,2,B,BDH-08 Liftopsluiting 155130,Isabellaland,\N,\N,\N,\N,2591CZ,Den Haag,52.094376200000006,4.363942,5TEXfUVLu1OJhvFPRvIl2xrCZ+4=,S,200187,4896,391,12,5170,"1,500,141,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.363942 52.09437620000001)
16184955,2019-12-31 22:44:00,FLEX-A,1600,AORG,P 1 BDH-07 Buitenbrand container (afvalcontainer) Orveltestraat SGRAVH 156230,P 1,1,B,BDH-07 Buitenbrand container (afvalcontainer) 156230,Orveltestraat,\N,\N,\N,\N,2545KG,Den Haag,52.0500646,4.2711399000000005,4WYI37ns6NIqFeWpYUVLn5SkYi8=,S,200906,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.271139900000001 52.0500646)
16184978,2019-12-31 22:46:00,FLEX-A,1600,AORG,P 1 BDH-09 Buitenbrand afval/rommel Wrightlaan SGRAVH 159636,P 1,1,B,BDH-09 Buitenbrand afval/rommel 159636,Wrightlaan,\N,\N,\N,\N,2497CM,Den Haag,52.0377202,4.3628407,ax6TjAvvIsMgRQMSsIbK2YqWPOg=,S,201960,4896,391,12,5170,"15,001,611,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3628407 52.0377202)
16184984,2019-12-31 22:47:00,FLEX-A,1600,AORG,P 2 BDH-07 Liftopsluiting Hildebrandstraat SGRAVH 159631,P 2,2,B,BDH-07 Liftopsluiting 159631,Hildebrandstraat,\N,\N,\N,\N,2524VE,Den Haag,52.056171,4.3134354,ARbMSG++P5mE0BosE051IWyg3wU=,S,200089,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3134354 52.056171)
16184996,2019-12-31 22:48:00,FLEX-A,1600,AORG,P 1 BDH-07 Buitenbrand afval/rommel Kaapseplein Kaapstraat SGRAVH 157830,P 1,1,B,BDH-07 Buitenbrand afval/rommel 157830,Kaapseplein,\N,\N,\N,\N,2572NC,Den Haag,52.061886,4.296218799999999,CfSgokdy3q3cDAGSRbm71hKAm50=,S,200309,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.296218799999999 52.061886)
16185003,2019-12-31 22:50:00,FLEX-A,1600,AORG,P 1 BDH-08 Voertuigbrand Heeswijkplein Medlerstraat SGRAVH 157630,P 1,1,B,BDH-08 Voertuigbrand 157630,Heeswijkplein,\N,\N,\N,\N,2531HC,Den Haag,52.0510826,4.3040278,zxDfuHniAEDH5FWEQpbcVLiK5Jo=,S,200040,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3040278 52.0510826)
16185012,2019-12-31 22:52:00,FLEX-A,1600,AORG,P 1 BDH-08 Buitenbrand berm/ruigte Paets van Troostwijkstraat De Genestetlaan SGRAVH 159632,P 1,1,B,BDH-08 Buitenbrand berm/ruigte 159632,Paets van Troostwijkstraat,\N,\N,\N,\N,2522DK,Den Haag,52.0592782,4.3337612000000005,xHbcfuw0wukppmTgGG617NHnbGo=,S,200928,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.333761200000001 52.0592782)
16185026,2019-12-31 22:54:00,FLEX-A,1600,AORG,P 1 BDH-07 Buitenbrand afval/rommel Monnickendamplein SGRAVH 156230,P 1,1,B,BDH-07 Buitenbrand afval/rommel 156230,Monnickendamplein,\N,\N,\N,\N,2547CT,Den Haag,52.0628492,4.2708281999999995,YcpOkVa9aB6L5oJ3C0dgIaIUAsI=,S,200756,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2708282 52.0628492)
16185061,2019-12-31 22:59:00,FLEX-A,1600,AORG,P 2 BDH-07 Buitenbrand afval/rommel 's-Gravenzandelaan SGRAVH 157830,P 2,2,B,BDH-07 Buitenbrand afval/rommel ' 157830,'s-Gravenzandelaan,\N,\N,\N,\N,2512JH,Den Haag,52.0721946,4.299068599999999,95/M0oW9RKO7RyuvrSXZ4ZS27Y8=,S,199069,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.299068599999999 52.0721946)
16185072,2019-12-31 23:00:00,FLEX-A,1600,AORG,P 1 BDH-07 Buitenbrand afval/rommel Jacob Catsstraat Waterloostraat SGRAVH 159635,P 1,1,B,BDH-07 Buitenbrand afval/rommel 159635,Jacob Catsstraat,\N,\N,\N,\N,2515EX,Den Haag,52.0663024,4.314103500000001,BsrjNx1vGvft2/D4ib5LTEsLJ6Q=,S,200203,4896,391,12,5170,"15,001,421,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.314103500000001 52.0663024)
16185092,2019-12-31 23:04:00,FLEX-A,1600,AORG,P 1 BDH-08 Buitenbrand afval/rommel Tonystraat Sinjeur Semeynsweg SGRAVH 159631,P 1,1,B,BDH-08 Buitenbrand afval/rommel 159631,Sinjeur Semeynsweg,\N,\N,\N,\N,2524EB,Den Haag,52.0544287,4.3209517,iYlBf7GRBt5kvv4aW29pNbd+4kg=,S,201303,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3209517 52.0544287)
16185140,2019-12-31 23:10:00,FLEX-A,1600,AORG,P 2 BDH-07 Buitenbrand afval/rommel Frederik Hendriklaan Willem de Zwijgerlaan SGRAVH 157130,P 2,2,B,BDH-07 Buitenbrand afval/rommel 157130,Willem de Zwijgerlaan,\N,\N,\N,\N,2582ED,Den Haag,52.0907635,4.2769072999999995,/bxW3vnr7hrmNHqhKsjwKP/a+Eg=,S,201916,4896,391,12,5170,"15,001,581,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2769073 52.0907635)
16185174,2019-12-31 23:15:00,FLEX-A,1600,AORG,P 1 BDH-09 Voertuigbrand Kaapseplein SGRAVH 157830,P 1,1,B,BDH-09 Voertuigbrand 157830,Kaapseplein,\N,\N,\N,\N,2572NC,Den Haag,52.061886,4.296218799999999,GMRfPJtZI0L7zlmvk/TwRSdakco=,S,200309,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.296218799999999 52.061886)
16185199,2019-12-31 23:19:00,FLEX-A,1600,AORG,P 1 BDH-08 Buitenbrand afval/rommel Oudemansstraat Paets van Troostwijkstraat SGRAVH 159631,P 1,1,B,BDH-08 Buitenbrand afval/rommel 159631,Paets van Troostwijkstraat,\N,\N,\N,\N,2522DK,Den Haag,52.0592782,4.3337612000000005,1W8Jj5j2zIyeUyB8JzMX3To6q2E=,S,200928,4896,391,12,5170,"15,001,481,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.333761200000001 52.0592782)
16185200,2019-12-31 23:19:00,FLEX-A,1600,AORG,P 1 BDH-10 Voertuigbrand Jacob Catsstraat SGRAVH 157630,P 1,1,B,BDH-10 Voertuigbrand 157630,Jacob Catsstraat,\N,\N,\N,\N,2515EX,Den Haag,52.0663024,4.314103500000001,NpwZPse9ucmiKguGJNpCN5TJH3s=,S,200203,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.314103500000001 52.0663024)
16185227,2019-12-31 23:25:00,FLEX-A,1600,AORG,P 1 Buitenbrand afval/rommel Oudemansstraat Paets van Troostwijkstraat SGRAVH 159631,P 1,1,B,Buitenbrand afval/rommel 159631,Paets van Troostwijkstraat,\N,\N,\N,\N,2522DK,Den Haag,52.0592782,4.3337612000000005,yrVZ2tbhEo6MY7ol0Mg4hnMUzf4=,S,200928,4896,391,12,5170,1500148,\N,\N,Den Haag,Den Haag,POINT (4.333761200000001 52.0592782)
16185238,2019-12-31 23:26:00,FLEX-A,1600,AORG,P 1 BDH-07 Buitenbrand container Brueghelstraat SGRAVH 159635,P 1,1,B,BDH-07 Buitenbrand container 159635,Brueghelstraat,\N,\N,\N,\N,2525RA,Den Haag,52.069213899999994,4.3006257,lCfYylNkvfYuddqYyvbLntbJZJY=,S,199452,4896,391,12,5170,"15,001,421,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3006257 52.06921389999999)
16185263,2019-12-31 23:31:00,FLEX-A,1600,AORG,P 1 BDH-09 Buitenbrand afval/rommel Bakkersstraat SGRAVH 157830,P 1,1,B,BDH-09 Buitenbrand afval/rommel 157830,Bakkersstraat,\N,\N,\N,\N,2513TJ,Den Haag,52.0783633,4.3014279,bjMQCwHY8qO5YBDyH/WAMYt7LxQ=,S,199280,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3014279 52.0783633)
